step,loss,step_time_sec,elapsed_sec,tokens_processed,tokens_per_sec,vram_used_mb,vram_peak_mb,gpu_util_percent
0,10.962404251098633,0.9222134998999536,0.9226046002004296,512,554.9506255320767,444.05322265625,526.38671875,79
200,7.326479911804199,0.10639530001208186,24.61364490003325,102912,4181.0955028387925,444.05322265625,694.328125,98
400,7.157905578613281,0.04340770002454519,48.35748660005629,205312,4245.71280343923,444.05322265625,694.328125,39
600,6.541982650756836,0.04209730005823076,62.273724500089884,307712,4941.281454902474,444.05322265625,694.328125,48
800,6.5265092849731445,0.04201860004104674,72.5232342001982,410112,5654.905004207316,444.05322265625,694.328125,52
1000,6.04536771774292,0.08889780007302761,82.83165260008536,512512,6187.393151195824,444.05322265625,694.328125,33
1200,5.885440826416016,0.10278790001757443,95.98181460006163,614912,6406.546933523022,444.05322265625,694.328125,29
1400,5.224944591522217,0.05020119994878769,110.06092560011894,717312,6517.4083907506665,444.05322265625,694.328125,45
1600,5.619933128356934,0.04438430001027882,118.87316840002313,819712,6895.685637330421,444.05322265625,694.328125,48
1800,5.167014122009277,0.0370384999550879,127.64118170016445,922112,7224.2515128548985,444.05322265625,694.328125,50
2000,5.711318492889404,0.049101300071924925,136.34341230010614,1024512,7514.202429853683,444.05322265625,694.328125,53
2200,5.609825134277344,0.03615569998510182,145.20773050002754,1126912,7760.688746525009,444.05322265625,694.328125,51
2400,5.385649681091309,0.052910099970176816,153.78633380006067,1229312,7993.636167946121,444.05322265625,694.328125,51
2600,4.695346355438232,0.03776780003681779,162.30894480017014,1331712,8204.797348904976,444.05322265625,694.328125,50
2800,4.881655693054199,0.03643679991364479,171.03905420005322,1434112,8384.70492430701,444.05322265625,694.328125,52
3000,5.118556022644043,0.04430310009047389,179.8633623002097,1536512,8542.662498632766,444.05322265625,694.328125,51
3200,4.910719394683838,0.04085960006341338,188.55886510014534,1638912,8691.779085165574,444.05322265625,694.328125,48
3400,5.0408172607421875,0.03934020013548434,197.014561700169,1741312,8838.493890873176,444.05322265625,694.328125,51
3600,4.183372974395752,0.0464934001211077,206.03438980015926,1843712,8948.564372133642,444.05322265625,694.328125,49
3800,4.5506672859191895,0.04004700016230345,215.30425300006755,1946112,9038.892510866423,444.05322265625,694.328125,54
4000,4.387860298156738,0.041442800080403686,224.30391960009,2048512,9132.75168642741,444.05322265625,694.328125,53
4200,3.803292751312256,0.039269500179216266,233.17296830005944,2150912,9224.53411165608,444.05322265625,694.328125,53
4400,4.122722625732422,0.04533130000345409,241.8426525001414,2253312,9317.26466239731,444.05322265625,694.328125,53
4600,4.272479057312012,0.04017530009150505,250.61247649998404,2355712,9399.819326234343,444.05322265625,694.328125,53
4800,4.229477405548096,0.03840279998257756,259.39673420018516,2458112,9476.2642543641,444.05322265625,694.328125,53
5000,4.0354413986206055,0.03763429983519018,268.33551260014065,2560512,9542.203248421834,444.05322265625,694.328125,53
